#sim_number, id, t_peak, amp_scale, P, new_length, offset, a_qpp, B, t_e, phi, sn, r, sn_red
865 , 880095 , 333.43553 , 10.20489 , 10.04059 , 150.60889 , 5.10677 , 3.06147 , 0.00000 , 30.12178 , 1.77999 , 4.00000 , 0.82270 , 16.25421
866 , 220754 , 125.03555 , 11.39969 , 19.27985 , 289.19779 , 29.34611 , 3.41991 , 0.00000 , 57.83956 , 4.33574 , 4.00000 , 0.89095 , 17.38586
867 , 296539 , 52.88859 , 10.71075 , 15.30425 , 229.56371 , 25.73972 , 3.21323 , 0.00000 , 45.91274 , 3.23514 , 4.00000 , 0.95730 , 15.38217
868 , 483313 , 106.02067 , 13.93262 , 16.54632 , 248.19484 , 81.28712 , 4.17978 , 0.00000 , 49.63897 , 1.01092 , 4.00000 , 0.86670 , 19.18007
869 , 271253 , 111.39741 , 11.92257 , 13.94031 , 209.10459 , 95.17131 , 3.57677 , 0.00000 , 41.82092 , 3.41928 , 4.00000 , 0.82069 , 18.19029
870 , 758097 , 235.51302 , 9.90567 , 17.52039 , 262.80583 , 92.59790 , 2.97170 , 0.00000 , 52.56117 , 5.94686 , 4.00000 , 0.90878 , 16.70240
871 , 102486 , 243.25510 , 7.74525 , 12.99476 , 194.92141 , 48.26301 , 2.32358 , 0.00000 , 38.98428 , 2.03224 , 4.00000 , 0.98968 , 18.48830
872 , 896560 , 328.42844 , 12.56359 , 10.40926 , 156.13891 , 27.48045 , 3.76908 , 0.00000 , 31.22778 , 0.13848 , 4.00000 , 0.95742 , 17.06112
873 , 175374 , 59.99054 , 11.73110 , 17.71195 , 265.67920 , 10.27823 , 3.51933 , 0.00000 , 53.13584 , 0.72168 , 4.00000 , 0.92782 , 17.46806
874 , 968738 , 216.01753 , 11.96064 , 16.09046 , 241.35689 , 25.38103 , 3.58819 , 0.00000 , 48.27138 , 3.45661 , 4.00000 , 0.91496 , 16.34763
875 , 752266 , 174.11199 , 8.20235 , 14.16487 , 212.47305 , 38.76257 , 2.46070 , 0.00000 , 42.49461 , 2.40369 , 4.00000 , 0.81860 , 17.99354
876 , 164278 , 232.39700 , 10.61164 , 13.19780 , 197.96707 , 45.08429 , 3.18349 , 0.00000 , 39.59341 , 5.28154 , 4.00000 , 0.93029 , 17.50724
877 , 430307 , 7.96406 , 11.66610 , 10.57310 , 158.59644 , 90.39077 , 3.49983 , 0.00000 , 31.71929 , 5.16226 , 4.00000 , 0.91082 , 18.27199
878 , 878327 , 20.28806 , 11.34613 , 9.27102 , 139.06534 , 77.31212 , 3.40384 , 0.00000 , 27.81307 , 0.77180 , 4.00000 , 0.88102 , 16.51721
879 , 692592 , 310.62662 , 8.58160 , 11.39439 , 170.91582 , 61.81575 , 2.57448 , 0.00000 , 34.18316 , 0.07329 , 4.00000 , 0.92368 , 15.98215
880 , 948068 , 166.78626 , 6.68457 , 13.17659 , 197.64886 , 57.57285 , 2.00537 , 0.00000 , 39.52977 , 3.42106 , 5.00000 , 0.97794 , 15.97021
881 , 671927 , 150.32162 , 12.05814 , 18.65271 , 279.79062 , 86.90906 , 3.61744 , 0.00000 , 55.95812 , 4.79070 , 5.00000 , 0.96350 , 16.11301
882 , 792258 , 145.72786 , 9.01913 , 12.93871 , 194.08061 , 21.43447 , 2.70574 , 0.00000 , 38.81612 , 1.68851 , 5.00000 , 0.98515 , 18.08914
