#sim_number, id, t_peak, C, D, amp_scale, P, new_length, offset, a_qpp, B, t_e, phi, sn, r, sn_red
24102 , 722645 , 149.00000 , 4.71277 , 0.85650 , 13.24022 , 14.20253 , 213.03801 , 56.62508 , 6.62011 , 0.00000 , 14.20253 , 4.58214 , 1.00000 , 0.81650 , 9.89029
24103 , 940964 , 161.00000 , 3.21007 , 0.79889 , 13.59556 , 11.87314 , 178.09708 , 50.66320 , 6.79778 , 0.00000 , 11.87314 , 2.93607 , 1.00000 , 0.93482 , 17.62307
24104 , 33197 , 180.00000 , 3.80240 , 0.57245 , 8.13525 , 13.75451 , 206.31764 , 23.07002 , 4.06762 , 0.00000 , 13.75451 , 5.99547 , 1.00000 , 0.91169 , 12.78009
24105 , 662550 , 80.00000 , 4.83523 , 0.90024 , 7.32786 , 15.29278 , 229.39176 , 98.19279 , 3.66393 , 0.00000 , 15.29278 , 0.83078 , 1.00000 , 0.92293 , 8.72307
24106 , 390219 , 195.00000 , 1.20670 , 0.46159 , 10.43378 , 8.34471 , 125.17060 , 42.42440 , 5.21689 , 0.00000 , 8.34471 , 3.97331 , 1.00000 , 0.94222 , 18.50753
24107 , 871458 , 124.00000 , 3.84538 , 0.42019 , 7.96842 , 10.47121 , 157.06815 , 85.76417 , 3.98421 , 0.00000 , 10.47121 , 2.72617 , 1.00000 , 0.95032 , 17.35393
24108 , 156788 , 83.00000 , 3.92326 , 0.86828 , 7.83359 , 15.94207 , 239.13112 , 64.71976 , 3.91680 , 0.00000 , 15.94207 , 6.24316 , 1.00000 , 0.83691 , 20.58189
24109 , 244169 , 333.00000 , 4.87071 , 0.75131 , 7.61391 , 12.42259 , 186.33878 , 80.26973 , 3.80696 , 0.00000 , 12.42259 , 6.03929 , 1.00000 , 0.92602 , 12.08460
24110 , 258238 , 323.00000 , 4.22909 , 0.65120 , 12.14551 , 9.76483 , 146.47247 , 73.21898 , 6.07275 , 0.00000 , 9.76483 , 3.04201 , 1.00000 , 0.97137 , 12.16172
24111 , 283810 , 209.00000 , 2.90616 , 0.52855 , 12.81083 , 14.82011 , 222.30158 , 95.16493 , 6.40541 , 0.00000 , 14.82011 , 1.65317 , 1.00000 , 0.86856 , 20.32798
24112 , 396877 , 101.00000 , 4.61843 , 0.95518 , 12.95948 , 16.58757 , 248.81352 , 86.62654 , 6.47974 , 0.00000 , 16.58757 , 0.49608 , 1.00000 , 0.98446 , 16.24408
24113 , 734616 , 88.00000 , 1.05552 , 0.98063 , 11.98879 , 8.45364 , 126.80455 , 15.94785 , 5.99439 , 0.00000 , 8.45364 , 4.20936 , 1.00000 , 0.83063 , 22.65554
24114 , 38688 , 43.00000 , 3.18030 , 0.55573 , 10.83087 , 17.41687 , 261.25312 , 35.74146 , 5.41544 , 0.00000 , 17.41687 , 4.70487 , 1.00000 , 0.92823 , 13.18393
24115 , 643740 , 120.00000 , 1.34318 , 0.50901 , 9.66582 , 17.95557 , 269.33354 , 75.80782 , 4.83291 , 0.00000 , 17.95557 , 0.48519 , 1.00000 , 0.90984 , 5.30667
24116 , 633251 , 239.00000 , 4.77185 , 0.77420 , 11.79105 , 8.98001 , 134.70013 , 12.23776 , 5.89553 , 0.00000 , 8.98001 , 2.35413 , 1.00000 , 0.90680 , 27.40275
24117 , 613547 , 77.00000 , 3.03633 , 0.61320 , 6.85728 , 13.77438 , 206.61566 , 76.00821 , 3.42864 , 0.00000 , 13.77438 , 6.11391 , 1.00000 , 0.95288 , 19.11687
24118 , 968675 , 56.00000 , 3.98644 , 0.77261 , 6.48937 , 14.85009 , 222.75142 , 93.76174 , 3.24468 , 0.00000 , 14.85009 , 5.98069 , 1.00000 , 0.85947 , 17.90649
24119 , 380782 , 388.00000 , 3.04347 , 0.54699 , 12.30034 , 8.62622 , 129.39334 , 69.59293 , 6.15017 , 0.00000 , 8.62622 , 0.78309 , 1.00000 , 0.95924 , 16.21272
24120 , 164493 , 246.00000 , 2.57488 , 0.78105 , 9.34901 , 8.96439 , 134.46586 , 33.08321 , 4.67451 , 0.00000 , 8.96439 , 1.20504 , 2.00000 , 0.87628 , 13.46765
24121 , 973796 , 224.00000 , 3.18785 , 0.56721 , 9.47498 , 9.12696 , 136.90444 , 91.12830 , 4.73749 , 0.00000 , 9.12696 , 0.06624 , 2.00000 , 0.85235 , 11.75145
24122 , 198597 , 206.00000 , 3.41508 , 0.36810 , 10.76483 , 8.82093 , 132.31392 , 49.47046 , 5.38242 , 0.00000 , 8.82093 , 2.42360 , 2.00000 , 0.90806 , 7.78392
24123 , 294398 , 256.00000 , 3.66749 , 0.83113 , 12.29470 , 15.94525 , 239.17880 , 75.86924 , 6.14735 , 0.00000 , 15.94525 , 4.73772 , 2.00000 , 0.86841 , 19.23843
24124 , 631576 , 100.00000 , 2.65486 , 0.54757 , 10.55999 , 17.05745 , 255.86168 , 81.04024 , 5.27999 , 0.00000 , 17.05745 , 1.62375 , 2.00000 , 0.98611 , 18.97786
24125 , 111551 , 172.00000 , 2.26498 , 0.39957 , 11.92791 , 19.70848 , 295.62718 , 15.39194 , 5.96396 , 0.00000 , 19.70848 , 1.45941 , 2.00000 , 0.83435 , 10.31199
24126 , 864268 , 132.00000 , 2.07538 , 0.83941 , 11.19688 , 13.38390 , 200.75844 , 59.64677 , 5.59844 , 0.00000 , 13.38390 , 0.04613 , 2.00000 , 0.93771 , 15.30647
24127 , 232999 , 94.00000 , 2.32677 , 0.95994 , 10.10406 , 12.44412 , 186.66185 , 0.79719 , 5.05203 , 0.00000 , 12.44412 , 6.00165 , 2.00000 , 0.92354 , 9.29361
24128 , 155235 , 282.00000 , 3.62578 , 0.66478 , 7.48292 , 10.34731 , 155.20965 , 80.92476 , 3.74146 , 0.00000 , 10.34731 , 5.73543 , 2.00000 , 0.85050 , 17.96367
