#sim_number, id, t_peak, C, D, amp_scale, P, new_length, offset, a_qpp, B, t_e, phi, sn, r, sn_red
21098 , 648417 , 303.00000 , 3.46100 , 0.79418 , 11.40442 , 15.05957 , 225.89349 , 27.36663 , 7.98309 , 0.00000 , 15.05957 , 4.07759 , 5.00000 , 0.97251 , 20.66517
21099 , 442232 , 75.00000 , 2.67144 , 0.25413 , 6.64872 , 16.73518 , 251.02767 , 12.96796 , 4.65410 , 0.00000 , 16.73518 , 0.22094 , 5.00000 , 0.97700 , 8.86483
21100 , 688673 , 185.00000 , 1.91791 , 0.97481 , 11.55174 , 18.78149 , 281.72240 , 53.83000 , 5.77587 , 0.00000 , 18.78149 , 3.91279 , 1.00000 , 0.87818 , 20.31040
21101 , 112081 , 343.00000 , 2.96978 , 0.84769 , 9.75287 , 11.40168 , 171.02521 , 83.86645 , 4.87644 , 0.00000 , 11.40168 , 0.82714 , 1.00000 , 0.87563 , 19.80048
21102 , 90195 , 153.00000 , 1.66712 , 0.38647 , 11.02174 , 9.49951 , 142.49259 , 50.08832 , 5.51087 , 0.00000 , 9.49951 , 1.58166 , 1.00000 , 0.94791 , 14.97320
21103 , 960951 , 285.00000 , 4.85228 , 0.38191 , 11.10330 , 11.11559 , 166.73392 , 85.91654 , 5.55165 , 0.00000 , 11.11559 , 5.79460 , 1.00000 , 0.93056 , 11.07846
21104 , 442392 , 148.00000 , 1.11364 , 0.33979 , 10.60896 , 13.23094 , 198.46406 , 44.23791 , 5.30448 , 0.00000 , 13.23094 , 3.76125 , 1.00000 , 0.91756 , 12.29401
21105 , 544980 , 231.00000 , 4.79009 , 0.82729 , 7.88934 , 19.97793 , 299.66901 , 50.27337 , 3.94467 , 0.00000 , 19.97793 , 1.93723 , 1.00000 , 0.81404 , 12.90753
21106 , 805585 , 231.00000 , 3.97886 , 0.77327 , 9.93818 , 7.82592 , 117.38887 , 38.57934 , 4.96909 , 0.00000 , 7.82592 , 0.97757 , 1.00000 , 0.91152 , 11.96528
21107 , 63880 , 32.00000 , 3.86711 , 0.90552 , 8.74474 , 15.75796 , 236.36937 , 12.26087 , 4.37237 , 0.00000 , 15.75796 , 3.38854 , 1.00000 , 0.93051 , 12.00294
