#sim_number, id, t_peak, amp_scale, P, new_length, offset, a_qpp, B, t_e, phi, sn, r, sn_red
6092 , 803759 , 59.69295 , 7.94548 , 16.40270 , 246.04053 , 17.23449 , 5.56183 , 0.00000 , 16.40270 , 3.32475 , 5.00000 , 0.94068 , 16.88946
6093 , 300396 , 132.09021 , 10.78741 , 16.55306 , 248.29592 , 14.73311 , 7.55118 , 0.00000 , 16.55306 , 3.30317 , 5.00000 , 0.86362 , 17.23234
6094 , 387170 , 111.29836 , 12.11122 , 15.13622 , 227.04333 , 31.03890 , 8.47785 , 0.00000 , 15.13622 , 2.78828 , 5.00000 , 0.96525 , 16.44075
6095 , 397996 , 81.02651 , 11.12011 , 16.59799 , 248.96981 , 92.81825 , 7.78407 , 0.00000 , 16.59799 , 0.45929 , 5.00000 , 0.91155 , 17.66560
6096 , 738606 , 123.68758 , 10.59894 , 12.32816 , 184.92240 , 93.98538 , 7.41926 , 0.00000 , 12.32816 , 1.95468 , 5.00000 , 0.83035 , 16.28879
6097 , 566553 , 260.35513 , 7.11220 , 10.61186 , 159.17784 , 49.67358 , 4.97854 , 0.00000 , 10.61186 , 0.61218 , 5.00000 , 0.82377 , 18.22714
6098 , 436522 , 162.76506 , 6.81856 , 17.22191 , 258.32870 , 36.56353 , 4.77299 , 0.00000 , 17.22191 , 1.08279 , 5.00000 , 0.92905 , 17.02503
6099 , 588921 , 236.00849 , 9.96437 , 16.52552 , 247.88279 , 54.54167 , 6.97506 , 0.00000 , 16.52552 , 3.27240 , 5.00000 , 0.93054 , 18.35638
6100 , 549992 , 31.32401 , 9.97453 , 17.54405 , 263.16073 , 11.27460 , 4.98726 , 0.00000 , 17.54405 , 2.01343 , 1.00000 , 0.87888 , 15.97604
6101 , 507006 , 221.10500 , 7.36185 , 16.13952 , 242.09276 , 76.03410 , 3.68092 , 0.00000 , 16.13952 , 4.14871 , 1.00000 , 0.96343 , 17.32242
6102 , 216486 , 146.02301 , 8.31848 , 15.50173 , 232.52595 , 59.42852 , 4.15924 , 0.00000 , 15.50173 , 1.05636 , 1.00000 , 0.82967 , 17.29394
6103 , 86963 , 154.69558 , 11.81308 , 9.92813 , 148.92200 , 15.81782 , 5.90654 , 0.00000 , 9.92813 , 0.19365 , 1.00000 , 0.87535 , 18.52246
6104 , 458349 , 338.23289 , 12.54831 , 8.02682 , 120.40225 , 64.11234 , 6.27416 , 0.00000 , 8.02682 , 4.85158 , 1.00000 , 0.92620 , 17.25447
6105 , 151979 , 54.80891 , 11.49255 , 16.45060 , 246.75907 , 12.25898 , 5.74627 , 0.00000 , 16.45060 , 5.68435 , 1.00000 , 0.96860 , 17.41254
6106 , 242760 , 37.28213 , 6.06912 , 15.89408 , 238.41123 , 52.66992 , 3.03456 , 0.00000 , 15.89408 , 1.96278 , 1.00000 , 0.91732 , 17.54165
6107 , 432248 , 175.41659 , 11.35197 , 10.66353 , 159.95294 , 11.06769 , 5.67598 , 0.00000 , 10.66353 , 4.92111 , 1.00000 , 0.96260 , 16.34983
6108 , 331570 , 36.90662 , 11.37704 , 14.68329 , 220.24940 , 26.77858 , 5.68852 , 0.00000 , 14.68329 , 2.10882 , 1.00000 , 0.97331 , 17.99772
6109 , 373756 , 223.82200 , 10.53528 , 15.52731 , 232.90963 , 36.70062 , 5.26764 , 0.00000 , 15.52731 , 4.41591 , 1.00000 , 0.88533 , 16.56106
6110 , 861989 , 243.00126 , 8.07278 , 8.45735 , 126.86026 , 34.83115 , 4.03639 , 0.00000 , 8.45735 , 2.88432 , 1.00000 , 0.94124 , 18.26175
6111 , 405335 , 202.04942 , 11.42161 , 14.25802 , 213.87028 , 92.43758 , 5.71081 , 0.00000 , 14.25802 , 0.44330 , 1.00000 , 0.98303 , 17.14392
6112 , 841306 , 201.14142 , 9.61208 , 18.29246 , 274.38694 , 27.43348 , 4.80604 , 0.00000 , 18.29246 , 1.14105 , 1.00000 , 0.94248 , 18.10394
6113 , 345591 , 34.58965 , 7.27555 , 19.01346 , 285.20185 , 67.75114 , 3.63778 , 0.00000 , 19.01346 , 4.38270 , 1.00000 , 0.85935 , 17.29221
6114 , 939496 , 154.53564 , 10.54567 , 11.85354 , 177.80304 , 13.05095 , 5.27283 , 0.00000 , 11.85354 , 1.14370 , 1.00000 , 0.98245 , 16.37524
6115 , 302817 , 213.69051 , 9.93119 , 14.28704 , 214.30553 , 0.33772 , 4.96559 , 0.00000 , 14.28704 , 0.31622 , 1.00000 , 0.82544 , 18.13051
6116 , 995927 , 31.35435 , 7.36616 , 15.97408 , 239.61122 , 92.65180 , 3.68308 , 0.00000 , 15.97408 , 1.73838 , 1.00000 , 0.98915 , 18.16921
6117 , 92399 , 106.19150 , 5.21226 , 9.43773 , 141.56598 , 94.76506 , 2.60613 , 0.00000 , 9.43773 , 2.30367 , 1.00000 , 0.82169 , 18.77759
6118 , 329467 , 229.29006 , 10.74958 , 14.84745 , 222.71168 , 49.74608 , 5.37479 , 0.00000 , 14.84745 , 5.22094 , 1.00000 , 0.81885 , 17.59743
6119 , 710064 , 53.75835 , 11.93285 , 14.18378 , 212.75672 , 23.43934 , 5.96643 , 0.00000 , 14.18378 , 1.43016 , 1.00000 , 0.83964 , 16.91443
6120 , 999954 , 136.05550 , 9.55085 , 11.49611 , 172.44165 , 86.82362 , 4.77542 , 0.00000 , 11.49611 , 5.01513 , 2.00000 , 0.95129 , 16.48076
6121 , 182886 , 77.77525 , 12.75798 , 19.58669 , 293.80032 , 97.27656 , 6.37899 , 0.00000 , 19.58669 , 3.78897 , 2.00000 , 0.87001 , 16.33037
6122 , 983276 , 238.10244 , 10.18074 , 12.14005 , 182.10070 , 7.26589 , 5.09037 , 0.00000 , 12.14005 , 1.66165 , 2.00000 , 0.97065 , 17.85179
6123 , 591449 , 93.10961 , 13.44958 , 18.24074 , 273.61114 , 24.31809 , 6.72479 , 0.00000 , 18.24074 , 3.01210 , 2.00000 , 0.93433 , 18.25117
6124 , 271816 , 123.87027 , 8.01439 , 18.23403 , 273.51043 , 79.52473 , 4.00720 , 0.00000 , 18.23403 , 5.24034 , 2.00000 , 0.86634 , 16.95034
6125 , 337607 , 151.19126 , 11.68417 , 19.46192 , 291.92880 , 4.72568 , 5.84209 , 0.00000 , 19.46192 , 5.53233 , 2.00000 , 0.95330 , 15.13465
6126 , 935848 , 226.36680 , 8.90471 , 9.94774 , 149.21613 , 84.05399 , 4.45235 , 0.00000 , 9.94774 , 5.89743 , 2.00000 , 0.81230 , 17.13530
6127 , 200648 , 262.36875 , 11.79511 , 9.03534 , 135.53003 , 5.86781 , 5.89755 , 0.00000 , 9.03534 , 1.78196 , 2.00000 , 0.85380 , 18.02784
6128 , 574013 , 211.08135 , 7.57781 , 18.76090 , 281.41348 , 56.78395 , 3.78890 , 0.00000 , 18.76090 , 2.53229 , 2.00000 , 0.94551 , 17.71654
6129 , 605285 , 155.39309 , 12.56077 , 10.98821 , 164.82315 , 43.39421 , 6.28039 , 0.00000 , 10.98821 , 3.44094 , 2.00000 , 0.85229 , 16.34031
6130 , 737519 , 130.28532 , 7.04205 , 15.69463 , 235.41946 , 62.48124 , 3.52102 , 0.00000 , 15.69463 , 4.17398 , 2.00000 , 0.91264 , 14.97675
6131 , 745662 , 207.10754 , 8.94533 , 19.43203 , 291.48052 , 81.63247 , 4.47267 , 0.00000 , 19.43203 , 1.56926 , 2.00000 , 0.95416 , 17.91937
6132 , 984504 , 182.67112 , 8.51395 , 11.04498 , 165.67465 , 67.72413 , 4.25698 , 0.00000 , 11.04498 , 2.79224 , 2.00000 , 0.89626 , 16.78045
6133 , 251019 , 116.71665 , 8.22030 , 15.57601 , 233.64016 , 0.72186 , 4.11015 , 0.00000 , 15.57601 , 5.53086 , 2.00000 , 0.90706 , 16.53668
6134 , 931086 , 297.88734 , 10.70179 , 10.86031 , 162.90464 , 2.05463 , 5.35089 , 0.00000 , 10.86031 , 0.82119 , 2.00000 , 0.85394 , 17.21570
6135 , 255089 , 188.66095 , 11.96917 , 7.55300 , 113.29504 , 51.31034 , 5.98458 , 0.00000 , 7.55300 , 4.72982 , 2.00000 , 0.96269 , 17.76668
6136 , 605666 , 202.07207 , 7.74880 , 12.74822 , 191.22337 , 38.33230 , 3.87440 , 0.00000 , 12.74822 , 1.92992 , 2.00000 , 0.90456 , 18.83519
6137 , 620796 , 283.57781 , 9.28445 , 13.93097 , 208.96460 , 97.11659 , 4.64222 , 0.00000 , 13.93097 , 3.99920 , 2.00000 , 0.94879 , 17.23979
6138 , 2881 , 362.89024 , 8.28176 , 7.73680 , 116.05199 , 11.16534 , 4.14088 , 0.00000 , 7.73680 , 6.18536 , 2.00000 , 0.86048 , 18.56124
6139 , 366510 , 95.00793 , 9.93142 , 13.17892 , 197.68378 , 61.36925 , 4.96571 , 0.00000 , 13.17892 , 4.65053 , 2.00000 , 0.82373 , 17.90959
6140 , 982130 , 176.38732 , 7.62163 , 16.13093 , 241.96392 , 57.08842 , 3.81082 , 0.00000 , 16.13093 , 2.75923 , 3.00000 , 0.81286 , 17.10542
6141 , 189168 , 133.07123 , 9.63824 , 10.74522 , 161.17827 , 65.08724 , 4.81912 , 0.00000 , 10.74522 , 4.93747 , 3.00000 , 0.86423 , 17.54496
6142 , 514348 , 110.73378 , 8.15842 , 14.51616 , 217.74238 , 62.47251 , 4.07921 , 0.00000 , 14.51616 , 5.63065 , 3.00000 , 0.84904 , 17.48130
6143 , 222449 , 179.89504 , 8.24062 , 9.10513 , 136.57693 , 55.11656 , 4.12031 , 0.00000 , 9.10513 , 5.26557 , 3.00000 , 0.93425 , 16.80257
