#sim_number, id, t_peak, amp_scale, sig_r, sig_f, new_length, offset, P, a_qpp, B, t_e, phi, sn, r, sn_red, bgd, grad_scale, t1, ?
9071 , 192020 , 230.36157 , 8.05957 , 1.50043 , 7.95331 , 142.84098 , 32.20344 , 9.52273 ,  , 5.64170 , 0.00000 , 9.52273 , 0.69843 , 4.00000 , 0.95234 , 17.51074 , quad , -5.44336 , 481.67766 
9072 , 485387 , 180.57720 , 10.79869 , 2.72933 , 9.53609 , 150.41734 , 8.56758 , 10.02782 ,  , 7.55909 , 0.00000 , 10.02782 , 3.60942 , 4.00000 , 0.86578 , 17.54241 , quad , -2.16730 , 33.08896 
9073 , 92416 , 244.69740 , 14.03528 , 0.11395 , 13.13987 , 119.34272 , 67.02453 , 7.95618 ,  , 9.82469 , 0.00000 , 7.95618 , 5.31338 , 4.00000 , 0.94946 , 17.77950 , quad , -2.06724 , 375.59751 
9074 , 778955 , 188.57195 , 9.68841 , 0.63501 , 12.03019 , 279.59392 , 87.97230 , 18.63959 ,  , 6.78188 , 0.00000 , 18.63959 , 2.33261 , 4.00000 , 0.90084 , 17.92412 , quad , -4.23769 , 276.36515 
9075 , 123587 , 69.53308 , 8.42143 , 1.21721 , 8.48297 , 116.45824 , 50.30591 , 7.76388 ,  , 5.89500 , 0.00000 , 7.76388 , 3.36924 , 4.00000 , 0.88159 , 16.97706 , quad , -4.02115 , 255.00467 
9076 , 956840 , 201.24015 , 11.72709 , 2.67380 , 10.87012 , 151.43294 , 55.08515 , 10.09553 ,  , 8.20896 , 0.00000 , 10.09553 , 3.18873 , 4.00000 , 0.85202 , 18.58932 , quad , 4.85071 , 11.37523 
9077 , 388871 , 97.15885 , 10.89959 , 1.49706 , 11.85564 , 238.44143 , 38.82688 , 15.89610 ,  , 7.62971 , 0.00000 , 15.89610 , 2.19392 , 4.00000 , 0.85489 , 16.82843 , quad , 3.19638 , 322.94051 
9078 , 114823 , 219.53232 , 9.56799 , 2.23218 , 9.80476 , 122.52753 , 32.94226 , 8.16850 ,  , 6.69760 , 0.00000 , 8.16850 , 3.60976 , 4.00000 , 0.88868 , 17.89411 , quad , -3.53100 , 432.02250 
9079 , 463455 , 220.55190 , 9.46422 , 1.42161 , 13.72511 , 272.29213 , 1.99737 , 18.15281 ,  , 6.62496 , 0.00000 , 18.15281 , 3.13622 , 4.00000 , 0.89406 , 18.06555 , quad , -2.28095 , 26.73685 
9080 , 172518 , 230.22506 , 9.36464 , 0.79888 , 17.22680 , 196.21013 , 73.28394 , 13.08068 ,  , 6.55525 , 0.00000 , 13.08068 , 1.81129 , 5.00000 , 0.93572 , 17.51339 , quad , 2.46020 , 163.14053 
